com.samsung.shealth.stand_day_summary,6320001,2
create_sh_ver,stand_time,modify_sh_ver,update_time,create_time,deviceuuid,pkg_name,datauuid,day_time
,0,,2019-08-05 15:00:03.786,2019-08-05 15:00:03.786,6fBBpnPaJ6,com.sec.android.app.shealth,e05786f5-2069-0e61-48af-53b1727276ff,1565049600000,
,0,,2019-08-06 15:00:05.747,2019-08-06 15:00:05.747,6fBBpnPaJ6,com.sec.android.app.shealth,305b52ee-20a1-61c6-2009-f7162632e7d2,1565136000000,
,0,,2019-08-07 15:00:03.608,2019-08-07 15:00:03.608,6fBBpnPaJ6,com.sec.android.app.shealth,a2a28b3b-1583-fca5-bc58-05ecfd670abd,1565222400000,
,0,,2019-08-08 15:00:04.840,2019-08-08 15:00:04.840,6fBBpnPaJ6,com.sec.android.app.shealth,1b70051a-3059-5210-1014-3b09e7bc1417,1565308800000,
,0,,2019-08-09 15:00:02.783,2019-08-09 15:00:02.783,6fBBpnPaJ6,com.sec.android.app.shealth,c4505000-fc4c-b72c-a30a-5d2eb863eb38,1565395200000,
,1048580,,2019-08-11 11:32:46.326,2019-08-10 15:00:02.827,6fBBpnPaJ6,com.sec.android.app.shealth,92629b4c-3b1c-1540-d8f0-883f64b6d87a,1565481600000,
,1,,2019-08-11 15:01:13.324,2019-08-11 15:00:03.778,6fBBpnPaJ6,com.sec.android.app.shealth,fc9b491f-85a8-51ec-ba5b-76377e8b00a2,1565568000000,
,1835008,,2019-08-13 11:54:11.313,2019-08-12 15:00:03.559,6fBBpnPaJ6,com.sec.android.app.shealth,769ac9c2-42e6-9598-59bc-ab4d4a4287c0,1565654400000,
,10747904,,2019-08-14 14:41:43.695,2019-08-13 15:00:08.694,6fBBpnPaJ6,com.sec.android.app.shealth,418d5e46-f608-a35e-0873-ca7ebfd2d8d1,1565740800000,
,1048576,,2019-08-15 11:36:19.299,2019-08-14 15:00:02.761,6fBBpnPaJ6,com.sec.android.app.shealth,e1243337-b727-d4da-daff-a1bd78127006,1565827200000,
,8396805,,2019-08-16 14:53:02.265,2019-08-15 15:00:03.078,6fBBpnPaJ6,com.sec.android.app.shealth,483982c8-b60b-332b-9446-43efbf64f9af,1565913600000,
,8388610,,2019-08-17 14:18:59.351,2019-08-16 15:00:09.128,6fBBpnPaJ6,com.sec.android.app.shealth,3cab9b83-cf8e-e392-8bd4-bb84b5cbec2b,1566000000000,
,2691072,,2019-08-18 12:44:35.336,2019-08-17 15:00:08.526,6fBBpnPaJ6,com.sec.android.app.shealth,e800fb3e-8705-67ae-acf4-0ae5e31ae4af,1566086400000,
,86018,,2019-08-19 07:47:06.336,2019-08-18 15:00:03.819,6fBBpnPaJ6,com.sec.android.app.shealth,e97cb42a-5887-4771-7893-89fdc4259b4e,1566172800000,
,1179648,,2019-08-20 11:18:09.027,2019-08-19 15:00:04.429,6fBBpnPaJ6,com.sec.android.app.shealth,d7bb543f-a6dd-40a5-015a-10eb8c29d4c8,1566259200000,
,1572864,,2019-08-22 11:58:19.306,2019-08-21 15:00:18.414,6fBBpnPaJ6,com.sec.android.app.shealth,6330a6c0-e5f5-96e4-503f-814d7ae71e7e,1566432000000,
,1347585,,2019-08-23 11:30:35.780,2019-08-22 15:05:44.217,6fBBpnPaJ6,com.sec.android.app.shealth,6df9c1bf-1fc1-f8da-c071-527d7c0f0e75,1566518400000,
,0,,2019-08-23 15:00:04.354,2019-08-23 15:00:04.354,6fBBpnPaJ6,com.sec.android.app.shealth,88da6a87-e246-7a15-f064-b53a4e5d2502,1566604800000,
,10747907,,2019-08-25 14:30:39.261,2019-08-24 15:01:30.631,6fBBpnPaJ6,com.sec.android.app.shealth,5e23f26b-0242-2ce8-4168-fd606f7fdaca,1566691200000,
,6291456,,2019-08-26 13:52:37.364,2019-08-25 15:00:06.248,6fBBpnPaJ6,com.sec.android.app.shealth,0c410be5-d578-9b74-5a63-c343e053d1d1,1566777600000,
,0,,2019-08-26 15:00:08.639,2019-08-26 15:00:08.639,6fBBpnPaJ6,com.sec.android.app.shealth,55fab3c5-0bbd-d4ed-d425-427926b52ac6,1566864000000,
,2392064,,2019-08-28 12:00:57.443,2019-08-27 15:00:05.197,6fBBpnPaJ6,com.sec.android.app.shealth,d38c4c65-5e33-7fa3-be38-daac97dbdaf4,1566950400000,
,0,,2019-08-28 15:00:02.434,2019-08-28 15:00:02.434,6fBBpnPaJ6,com.sec.android.app.shealth,6c6ff1b7-d96f-0161-d44b-914dcdfa9714,1567036800000,
,0,,2019-08-29 15:00:11.413,2019-08-29 15:00:11.413,6fBBpnPaJ6,com.sec.android.app.shealth,d94e6ebb-d65d-f353-939b-c6c3e5865b59,1567123200000,
,16384,,2019-08-31 05:05:10.266,2019-08-30 15:00:05.068,6fBBpnPaJ6,com.sec.android.app.shealth,765c2f3a-707c-006f-6117-cc51db87f7ed,1567209600000,
,4194304,,2019-09-01 13:34:44.316,2019-08-31 15:00:03.661,6fBBpnPaJ6,com.sec.android.app.shealth,f7c54dbd-ca75-c72d-920d-3de770082639,1567296000000,
,1114112,,2019-09-02 11:53:17.258,2019-09-01 15:00:05.139,6fBBpnPaJ6,com.sec.android.app.shealth,4cc66ea0-2346-092b-d3f3-c3964db1ba43,1567382400000,
,65536,,2019-09-03 07:41:15.362,2019-09-02 15:00:11.070,6fBBpnPaJ6,com.sec.android.app.shealth,9d2528f9-8b69-a3fc-0fbb-0fb7ebe0a78d,1567468800000,
,1228800,,2019-09-04 11:20:38.675,2019-09-03 15:00:04.736,6fBBpnPaJ6,com.sec.android.app.shealth,85856649-7eb2-a401-9822-751cb689bcfa,1567555200000,
,5537792,,2019-09-05 13:57:31.338,2019-09-04 15:00:06.847,6fBBpnPaJ6,com.sec.android.app.shealth,1f3fb912-d11d-cba9-ee38-f6b872e6aaf5,1567641600000,
,0,,2019-09-05 15:00:03.496,2019-09-05 15:00:03.496,6fBBpnPaJ6,com.sec.android.app.shealth,17db06db-a904-4db0-20a6-386c98c39b24,1567728000000,
,8,,2019-09-06 18:57:49.394,2019-09-06 15:00:03.970,6fBBpnPaJ6,com.sec.android.app.shealth,b56bc560-1b09-2fa9-6c50-c22eeec8dc5f,1567814400000,
,0,,2019-09-07 15:00:06.116,2019-09-07 15:00:06.116,6fBBpnPaJ6,com.sec.android.app.shealth,57237443-c52b-c51a-e7c5-3cef3a92189b,1567900800000,
,3145728,,2019-09-09 12:31:07.242,2019-09-08 15:00:04.235,6fBBpnPaJ6,com.sec.android.app.shealth,6ee2f44a-7a6f-eb45-9b98-62d0e6a459ea,1567987200000,
,573440,,2019-09-10 14:16:16.355,2019-09-09 15:00:04.934,6fBBpnPaJ6,com.sec.android.app.shealth,8e30e3e8-fd65-9ea6-890f-e2462183dec1,1568073600000,
,1245184,,2019-09-11 11:13:15.204,2019-09-10 15:00:05.097,6fBBpnPaJ6,com.sec.android.app.shealth,cd273c99-b8e8-2101-57d5-f32242b484d9,1568160000000,
