com.samsung.shealth.program.sleep_coaching.mission,6320001,3
create_sh_ver,answer,priority,modify_sh_ver,update_time,create_time,data_version,day_index,mission_id,deviceuuid,pkg_name,is_key_habit,session_id,datauuid,is_done
62600630,null,7,62610110,2024-01-28 05:37:37.496,2024-01-17 13:09:48.367,2,10,HB_07,sLWoup9uSz,com.sec.android.app.shealth,1,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,2de06122-5a84-4d7a-b71b-641037974d88,1,
62600630,null,3,62610110,2024-01-28 05:37:39.573,2024-01-17 13:09:48.367,2,10,HB_03,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,6b585259-eea8-46c7-9f45-570ec359f13f,1,
62600630,null,5,62610110,2024-01-28 05:37:40.005,2024-01-17 13:09:48.367,2,10,HB_05,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,4b323da3-e20c-4db7-afcd-6de7833fa21f,1,
62600630,null,6,62610110,2024-01-28 05:37:42.181,2024-01-17 13:09:48.368,2,10,HB_06,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,838a308e-c347-4438-ab99-b1c5f889a926,1,
62600630,null,8,62600630,2024-01-17 13:09:48.368,2024-01-17 13:09:48.368,2,10,HB_08,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,e013b719-49b4-40c2-8e9a-0f4d6c26967c,0,
62600630,null,9,62600630,2024-01-17 13:09:48.368,2024-01-17 13:09:48.368,2,10,HB_09,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,01d8eb3f-a19d-48d2-9188-224619e487cc,0,
62600630,null,1,62600630,2024-01-17 13:09:48.368,2024-01-17 13:09:48.368,2,11,HB_01,sLWoup9uSz,com.sec.android.app.shealth,1,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,a2ed70f0-e4c3-416d-a1cb-32f8a302177f,0,
62600630,null,7,62600630,2024-01-17 13:09:48.368,2024-01-17 13:09:48.368,2,11,HB_07,sLWoup9uSz,com.sec.android.app.shealth,1,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,34f42ee7-9e24-4d08-9841-8d42d724c955,0,
62600630,null,3,62600630,2024-01-17 13:09:48.368,2024-01-17 13:09:48.368,2,11,HB_03,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,f0f5784f-d91d-49bc-8f18-b0537e309c72,0,
62600630,null,5,62600630,2024-01-17 13:09:48.368,2024-01-17 13:09:48.368,2,11,HB_05,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,e22785f8-f679-480e-9e08-57dea33e6b2d,0,
62600630,null,6,62600630,2024-01-17 13:09:48.368,2024-01-17 13:09:48.368,2,11,HB_06,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,402d4902-5ada-4da8-8b9c-c8c3ea1f558e,0,
62600630,null,8,62600630,2024-01-17 13:09:48.368,2024-01-17 13:09:48.368,2,11,HB_08,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,785ef95c-fa14-4c26-abce-198ca1dafb90,0,
62600630,null,9,62600630,2024-01-17 13:09:48.368,2024-01-17 13:09:48.368,2,11,HB_09,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,019af700-2bd2-41a7-817a-9bb17c29ac92,0,
62600630,null,1,62600630,2024-01-17 13:09:48.368,2024-01-17 13:09:48.368,2,12,HB_01,sLWoup9uSz,com.sec.android.app.shealth,1,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,d0e10e0a-97f7-46f8-ad5b-de596bd5a5e4,0,
62600630,null,7,62900750,2025-01-22 09:40:22.115,2024-01-17 13:09:48.368,2,12,HB_07,sLWoup9uSz,com.sec.android.app.shealth,1,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,b6e2aa1e-3e36-4967-a105-68a8b6d79057,3,
62600630,null,3,62600630,2024-01-17 13:09:48.368,2024-01-17 13:09:48.368,2,12,HB_03,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,77cf676c-5972-42a4-ab11-7126a00bd453,0,
62600630,null,5,62600630,2024-01-17 13:09:48.368,2024-01-17 13:09:48.368,2,12,HB_05,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,30d24cdd-8faf-42ab-89e2-48ae0a2536e5,0,
62600630,null,6,62600630,2024-01-17 13:09:48.368,2024-01-17 13:09:48.368,2,12,HB_06,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,235dcf7c-270a-430b-beef-07857c0e61c3,0,
62600630,null,8,62600630,2024-01-17 13:09:48.368,2024-01-17 13:09:48.368,2,12,HB_08,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,bddc8e6b-8ffb-4a5e-ada7-63ac7144d713,0,
62600630,null,9,62600630,2024-01-17 13:09:48.368,2024-01-17 13:09:48.368,2,12,HB_09,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,b72b6d30-bf74-4359-827e-3666549f6dba,0,
62600630,null,1,62600630,2024-01-17 13:09:48.368,2024-01-17 13:09:48.368,2,13,HB_01,sLWoup9uSz,com.sec.android.app.shealth,1,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,6d69ed84-13bb-4833-a449-22fcc8d44d4d,0,
62600630,null,7,62600630,2024-01-17 13:09:48.368,2024-01-17 13:09:48.368,2,13,HB_07,sLWoup9uSz,com.sec.android.app.shealth,1,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,75c2ab5a-88ce-4458-b1d4-a9a4cdc3329d,0,
62600630,null,3,62600630,2024-01-17 13:09:48.368,2024-01-17 13:09:48.368,2,13,HB_03,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,756158ee-1f53-4511-9644-0fb10cd4ec06,0,
62600630,null,5,62600630,2024-01-17 13:09:48.368,2024-01-17 13:09:48.368,2,13,HB_05,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,f3e5bd1a-de41-42d8-8c83-0352cbd1cb31,0,
62600630,null,6,62600630,2024-01-17 13:09:48.369,2024-01-17 13:09:48.369,2,13,HB_06,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,f24ee6be-6537-4eb7-ba15-6a923901a6e0,0,
62600630,null,8,62600630,2024-01-17 13:09:48.369,2024-01-17 13:09:48.369,2,13,HB_08,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,13c97673-1f6c-4e25-b73e-5d9204e03858,0,
62600630,null,9,62600630,2024-01-17 13:09:48.369,2024-01-17 13:09:48.369,2,13,HB_09,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,7f4d25fd-70b8-4168-9262-3c4a848a72f2,0,
62600630,null,1,62600630,2024-01-17 13:09:48.369,2024-01-17 13:09:48.369,2,14,HB_01,sLWoup9uSz,com.sec.android.app.shealth,1,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,781fca7b-0630-442b-9732-1cbc6768bc03,0,
62600630,null,7,62600630,2024-01-17 13:09:48.369,2024-01-17 13:09:48.369,2,14,HB_07,sLWoup9uSz,com.sec.android.app.shealth,1,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,37c172bd-f9db-4fc2-bb4c-0054445969a1,0,
