com.samsung.shealth.badge,6320001,1
number_of_streak,start_time,exercise_type,device_type,status,sleep_coaching_session_uuid,update_time,create_time,source_pkg_name,key,program_id,is_shown,time_offset,extra_data,deviceuuid,pkg_name,exercise_data_uuid,controller_id,end_time,datauuid
1,2025-03-31 15:00:00.000,,,1,,2025-03-31 23:00:01.560,2025-03-31 23:00:01.560,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-04-01 14:59:59.999,51d44148-58c5-4e3e-8398-27a335ebac3c,
1,2025-04-02 15:00:00.000,,,1,,2025-04-02 23:06:31.700,2025-04-02 23:06:31.700,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-04-03 14:59:59.999,ad1e8b39-2a59-4b1c-804a-49602947dd3c,
1,2025-04-06 15:00:00.000,,,1,,2025-04-06 23:25:57.978,2025-04-06 23:25:57.978,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-04-07 14:59:59.999,92c0911b-470a-4fe5-9ddf-c773ad6b726e,
1,2025-04-14 15:00:00.000,,,1,,2025-04-14 23:19:14.122,2025-04-14 23:19:14.122,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-04-15 14:59:59.999,8f5ce09d-1c72-4dd4-aa83-0d89fb97993a,
,2025-04-15 00:00:00.000,,,1,,2025-04-14 23:19:18.509,2025-04-14 23:19:18.509,,vitality_excellent,,,UTC+0000,,4FEhL4nduw,com.sec.android.app.shealth,,tracker.vitality,2025-04-15 00:00:00.000,ac8050b3-45c4-4367-b44a-b823298c9fb0,
1,2025-04-16 15:00:00.000,,,1,,2025-04-16 23:09:01.341,2025-04-16 23:09:01.341,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-04-17 14:59:59.999,51705900-d532-432b-97bc-cd899c76ab95,
1,2025-04-17 15:00:00.000,,,1,,2025-04-17 23:33:10.409,2025-04-17 23:33:10.409,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-04-18 14:59:59.999,8864bb1b-6cbe-4609-b168-0f39de2ecd66,
1,2025-04-20 15:00:00.000,,,1,,2025-04-20 23:35:47.073,2025-04-20 23:35:47.073,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-04-21 14:59:59.999,353c3bf0-8d33-46d6-af91-e0440cd82f84,
,2025-04-25 00:00:00.000,,,1,,2025-04-24 23:28:26.446,2025-04-24 23:28:26.446,,vitality_excellent,,,UTC+0000,,4FEhL4nduw,com.sec.android.app.shealth,,tracker.vitality,2025-04-25 00:00:00.000,0c5bfa7a-3c63-4ede-85db-599ef6259a9d,
1,2025-05-05 15:00:00.000,,,1,,2025-05-05 23:05:00.750,2025-05-05 23:05:00.750,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-05-06 14:59:59.999,5d1bdd2d-e0e4-4a17-b309-f63e3430e594,
1,2025-05-06 15:00:00.000,,,1,,2025-05-06 23:34:48.035,2025-05-06 23:34:48.035,,sleep_excellent_sleep,,,UTC+0900,,4FEhL4nduw,com.sec.android.app.shealth,,Sleep.Goal,2025-05-07 14:59:59.999,23850d21-c27a-4a5e-bba3-80f33d191547,
